building_id;load_condition;mean_ec;shape_factor;temperature_correlation
Rat_education_Tim;Summer workdays;694.55;0.76;Thermal sensitive
Rat_education_Tim;Winter workdays;561.46;0.94;Non-thermal sensitive
Rat_education_Ulrike;Summer workdays;9862.91;0.82;Thermal sensitive
Rat_education_Ulrike;Winter workdays;6140.73;0.84;Non-thermal sensitive
Rat_education_Verna;Summer workdays;2137.78;0.67;Thermal sensitive
Rat_education_Verna;Winter workdays;1773.47;0.64;Thermal sensitive
Rat_education_Vicky;Summer workdays;1687.01;0.78;Non-thermal sensitive
Rat_education_Vicky;Winter workdays;1333.94;0.66;Non-thermal sensitive
Rat_education_Willie;Summer workdays;960.69;1.01;Thermal sensitive
Rat_education_Willie;Winter workdays;1197.04;1.06;Thermal sensitive
Rat_education_Wilmer;Summer workdays;2487.84;0.62;Thermal sensitive
Rat_education_Wilmer;Winter workdays;2620.62;0.7;Thermal sensitive
Rat_education_Winnie;Summer workdays;1227.53;0.68;Non-thermal sensitive
Rat_education_Winnie;Winter workdays;1649.89;0.69;Non-thermal sensitive
Rat_education_Yu;Summer workdays;422.38;0.54;Thermal sensitive
Rat_education_Yu;Winter workdays;486.37;0.74;Thermal sensitive
Rat_education_Zina;Summer workdays;1548.61;0.54;Thermal sensitive
Rat_education_Zina;Winter workdays;1222.38;0.54;Non-thermal sensitive
Rat_education_Zoe;Summer workdays;160.49;0.79;Thermal sensitive
Rat_education_Zoe;Winter workdays;354.53;0.83;Non-thermal sensitive
Robin_education_Audrea;Summer workdays;6962.48;0.9;Non-thermal sensitive
Robin_education_Audrea;Winter workdays;6262.59;0.9;Non-thermal sensitive
Robin_education_Billi;Summer workdays;1004.75;0.38;Non-thermal sensitive
Robin_education_Billi;Winter workdays;1118.92;0.38;Non-thermal sensitive
Robin_education_Cecilia;Summer workdays;1400.02;0.69;Thermal sensitive
Robin_education_Cecilia;Winter workdays;1444.05;0.68;Non-thermal sensitive
Robin_education_Derrick;Summer workdays;9908.19;0.76;Non-thermal sensitive
Robin_education_Derrick;Winter workdays;10043.82;0.75;Non-thermal sensitive
Robin_education_Jasper;Summer workdays;4007.62;0.8;Non-thermal sensitive
Robin_education_Jasper;Winter workdays;4312.31;0.81;Non-thermal sensitive
Robin_education_Julius;Summer workdays;8684.48;0.61;Thermal sensitive
Robin_education_Julius;Winter workdays;9569.12;0.58;Thermal sensitive
Robin_education_Karyl;Summer workdays;2599.73;0.71;Non-thermal sensitive
Robin_education_Karyl;Winter workdays;2427.75;0.68;Non-thermal sensitive
Robin_education_Kiera;Summer workdays;1975.26;0.51;Non-thermal sensitive
Robin_education_Kiera;Winter workdays;2232.81;0.48;Non-thermal sensitive
Robin_education_Kristopher;Summer workdays;3291.71;0.78;Non-thermal sensitive
Robin_education_Kristopher;Winter workdays;3184.99;0.77;Non-thermal sensitive
Robin_education_Lashandra;Summer workdays;2411.32;0.55;Thermal sensitive
Robin_education_Lashandra;Winter workdays;2623.16;0.68;Non-thermal sensitive
Robin_education_Leslie;Summer workdays;22954.76;0.74;Thermal sensitive
Robin_education_Leslie;Winter workdays;22589.64;0.74;Non-thermal sensitive
Robin_education_Lizbeth;Summer workdays;3065.3;0.86;Thermal sensitive
Robin_education_Lizbeth;Winter workdays;2813.89;0.87;Thermal sensitive
Robin_education_Madeline;Summer workdays;8927.93;0.83;Non-thermal sensitive
Robin_education_Madeline;Winter workdays;9024.91;0.82;Non-thermal sensitive
Robin_education_Margarito;Summer workdays;13639.89;0.82;Thermal sensitive
Robin_education_Margarito;Winter workdays;12258.63;0.84;Non-thermal sensitive
Robin_education_Megan;Summer workdays;6502.38;0.79;Non-thermal sensitive
Robin_education_Megan;Winter workdays;6668.93;0.8;Thermal sensitive
Robin_education_Mercedes;Summer workdays;7047.18;0.8;Thermal sensitive
Robin_education_Mercedes;Winter workdays;5954.36;0.78;Non-thermal sensitive
Robin_education_So;Summer workdays;12062.16;0.82;Non-thermal sensitive
Robin_education_So;Winter workdays;12739.23;0.8;Non-thermal sensitive
Robin_education_Takako;Summer workdays;5201.52;0.78;Non-thermal sensitive
Robin_education_Takako;Winter workdays;2860.83;0.75;Non-thermal sensitive
Robin_education_Terrance;Summer workdays;6143.77;0.75;Non-thermal sensitive
Robin_education_Terrance;Winter workdays;6546.01;0.77;Thermal sensitive
Robin_education_Zenia;Summer workdays;6170.29;0.71;Thermal sensitive
Robin_education_Zenia;Winter workdays;5596.43;0.75;Non-thermal sensitive
Wolf_education_Anisa;Summer workdays;4852.4;0.76;Non-thermal sensitive
Wolf_education_Anisa;Winter workdays;6899.6;0.64;Non-thermal sensitive
Wolf_education_Arnulfo;Summer workdays;849.13;0.73;Non-thermal sensitive
Wolf_education_Arnulfo;Winter workdays;1048.32;0.67;Non-thermal sensitive
Wolf_education_Bobby;Summer workdays;2637.68;0.57;Non-thermal sensitive
Wolf_education_Bobby;Winter workdays;2736.89;0.61;Non-thermal sensitive
Wolf_education_Cheryl;Summer workdays;3183.07;0.54;Non-thermal sensitive
Wolf_education_Cheryl;Winter workdays;3485.94;0.52;Non-thermal sensitive
Wolf_education_Clarissa;Summer workdays;1268.43;0.71;Non-thermal sensitive
Wolf_education_Clarissa;Winter workdays;1406.45;0.65;Non-thermal sensitive
Wolf_education_Cody;Summer workdays;585.09;0.63;Non-thermal sensitive
Wolf_education_Cody;Winter workdays;624.33;0.53;Non-thermal sensitive
Wolf_education_Dolores;Summer workdays;892.2;0.54;Non-thermal sensitive
Wolf_education_Dolores;Winter workdays;990.4;0.49;Non-thermal sensitive
Wolf_education_Dorris;Summer workdays;8200.37;0.74;Non-thermal sensitive
Wolf_education_Dorris;Winter workdays;8155.54;0.75;Non-thermal sensitive
Wolf_education_Eulalia;Summer workdays;1857.92;0.39;Non-thermal sensitive
Wolf_education_Eulalia;Winter workdays;1944.67;0.37;Non-thermal sensitive
Wolf_education_Joaquin;Summer workdays;1736.57;0.86;Non-thermal sensitive
Wolf_education_Joaquin;Winter workdays;1830.62;0.85;Non-thermal sensitive
Wolf_education_Josefa;Summer workdays;212.15;0.47;Non-thermal sensitive
Wolf_education_Josefa;Winter workdays;242.14;0.39;Non-thermal sensitive
Wolf_education_Katie;Summer workdays;663.11;0.56;Non-thermal sensitive
Wolf_education_Katie;Winter workdays;730.85;0.5;Non-thermal sensitive
Wolf_education_Laurinda;Summer workdays;5445.89;0.49;Non-thermal sensitive
Wolf_education_Laurinda;Winter workdays;5929.67;0.46;Non-thermal sensitive
Wolf_education_Loren;Summer workdays;5828.75;0.62;Non-thermal sensitive
Wolf_education_Loren;Winter workdays;6286.23;0.57;Non-thermal sensitive
Wolf_education_Miguel;Summer workdays;955.61;0.53;Non-thermal sensitive
Wolf_education_Miguel;Winter workdays;1033.61;0.49;Thermal sensitive
Wolf_education_Roderick;Summer workdays;119.58;1.63;Non-thermal sensitive
Wolf_education_Roderick;Winter workdays;123.69;1.67;Non-thermal sensitive
Wolf_education_Tammie;Summer workdays;2162.93;0.65;Non-thermal sensitive
Wolf_education_Tammie;Winter workdays;2159.4;0.62;Non-thermal sensitive
Wolf_education_Tori;Summer workdays;9210.95;0.62;Non-thermal sensitive
Wolf_education_Tori;Winter workdays;9797.51;0.6;Non-thermal sensitive
Wolf_education_Ursula;Summer workdays;3453.87;0.6;Non-thermal sensitive
Wolf_education_Ursula;Winter workdays;3606.77;0.57;Non-thermal sensitive
Wolf_education_Vivian;Summer workdays;1751.69;0.61;Non-thermal sensitive
Wolf_education_Vivian;Winter workdays;2069.81;0.52;Non-thermal sensitive
